# id    ra            dec          id_3DHST   ra_3DHST     dec_3DHST   z_IR     ez_IR    Mstar           xfAGN      xeAGN      SFR        eSFR       sSFR       SNR_IR   goodArea   m1400                m1700                S1400                   S1700                  
  214   189.2790375   62.3842049   -99        -99          -99         2.684    0.1095   5.7799999E10    24.2       24.2       87.68      50.77      1.517      1.888    0          -99                  -99                  -99                     -99                    
  216   189.3811798   62.3850174   -99        -99          -99         0.159    -1.0     3.251E8         0.1184     0.1184     0.2916     0.04731    0.8971     6.163    0          -99                  -99                  -99                     -99                    
  217   189.3233337   62.3851357   38264      189.323217   62.385061   2.611    0.053    2.83099988E11   34.8       34.8       90.97      44.66      0.3213     3.167    0          25.610286193941228   25.418698978538778   2.069595743287671E-7    2.468996126689867E-7   
  227   189.3872528   62.3847237   -99        -99          -99         0.921    0.01     3.03399987E9    0.4647     0.4647     3.299      2.147      1.087      2.144    0          -99                  -99                  -99                     -99                    
  239   189.301178    62.3842163   38261      189.301149   62.384253   3.242    0.293    3.9990002E10    11.34      11.34      93.85      59.89      2.347      3.221    0          27.076188624610026   26.524146202683117   5.3644419518645174E-8   8.919520725438711E-8   
  242   189.3982697   62.3841057   -99        -99          -99         1.31     0.208    1.95900006E10   1.297      1.297      11.46      11.46      0.5851     0.0      0          -99                  -99                  -99                     -99                    
  245   189.3617554   62.3836441   -99        -99          -99         0.7653   0.1      2.83100006E9    0.2737     0.2737     2.91       1.219      1.028      2.492    0          -99                  -99                  -99                     -99                    
  247   189.3082275   62.3836327   38216      189.308177   62.383625   0.041    0.04     3.02E7          2.464E-4   2.464E-4   0.004746   0.004746   0.1572     0.0      0          19.56565071512028    19.484541498742296   5.416761499561199E-5    5.836915424575744E-5   
  248   189.2747192   62.383419    -99        -99          -99         1.363    -1.0     9.3749996E9     1.546      1.546      13.15      7.095      1.403      2.767    0          -99                  -99                  -99                     -99                    
  254   189.3492737   62.3831825   -99        -99          -99         1.5      0.225    3.48300006E9    0.1838     0.1838     21.03      21.03      6.038      0.0      0          -99                  -99                  -99                     -99                    
