#            id        id_3DHST          SNR_IR        goodArea            z_IR              dL           Mstar           xfAGN           xeAGN          SFR_IR         eSFR_IR          SFR_UV           S1400           S1700      SFR_UV1400      SFR_UV1700    SFR_UV_from_Mstar    SFR_UV_for_noUV_noMstar         SFR_UV_for_AGN              SFR_total           SFR_UV_method
#
            186           38273           2.436               0           1.259         8604.25       1.828e+10           4.072           2.807           12.97           5.324         3.85346     5.37454e-07     6.86708e-07         3.85346         4.92359              1.11218                        -99                    -99                16.8235                    1.0
            207           38265           0.944               0           1.929         14633.3       7.447e+09          0.5521          0.5521            21.9            23.2         1.71498     8.26976e-08      1.1367e-07         1.71498         2.35729              6.60192                        -99                    -99                 23.615                    1.0
            208             -99           1.404               0           1.829           13700       8.355e+09           1.416           1.416           16.57            11.8         4.25204             -99             -99             -99             -99              4.25204                        -99                    -99                 20.822                    2.0
            213             -99           36.04               0          0.5044         2774.55       3.034e+10           3.754           3.754           30.33          0.8416         1.27953             -99             -99             -99             -99              1.27953                        -99                    -99                31.6095                    2.0
            214             -99           1.888               0           2.684         21953.9        5.78e+10            24.2            24.2           87.68           50.77         1.50038             -99             -99             -99             -99              1.50038                        -99                    -99                89.1804                    2.0
            216             -99           6.163               0           0.159          746.12       3.251e+08          0.1184          0.1184          0.2916         0.04731       0.0651033             -99             -99             -99             -99            0.0651033                        -99                    -99               0.356703                    2.5
            217           38264           3.167               0           2.611         21227.9       2.831e+11            34.8            34.8           90.97           44.66         9.03197      2.0696e-07       2.469e-07         9.03197          10.775             0.168338                        -99                    -99                100.002                    1.0
            227             -99           2.144               0           0.921         5822.36       3.034e+09          0.4647          0.4647           3.299           2.147        0.736542             -99             -99             -99             -99             0.736542                        -99                    -99                4.03554                    2.5
            239           38261           3.221               0           3.242         27605.7       3.999e+10           11.34           11.34           93.85           59.89         3.95918     5.36444e-08     8.91952e-08         3.95918         6.58297              2.68969                        -99                    -99                97.8092                    1.0
            242             -99               0               0            1.31         9041.88       1.959e+10           1.297           1.297           11.46           11.46        0.891942             -99             -99             -99             -99             0.891942                        -99                    -99                12.3519                    2.0
            245             -99           2.492               0          0.7653         4624.95       2.831e+09          0.2737          0.2737            2.91           1.219        0.649693             -99             -99             -99             -99             0.649693                        -99                    -99                3.55969                    2.5
            247           38216               0               0           0.041          188.04        3.02e+07       0.0002464       0.0002464        0.004746        0.004746        0.185492     5.41676e-05     5.83692e-05        0.185492         0.19988            0.0010596                        -99                    -99               0.190238                    1.0
            248             -99           2.767               0           1.363         9501.01       9.375e+09           1.546           1.546           13.15           7.095         2.87188             -99             -99             -99             -99              2.87188                        -99                    -99                16.0219                    2.0
            254             -99               0               0             1.5         10706.9       3.483e+09          0.1838          0.1838           21.03           21.03          4.6952             -99             -99             -99             -99               4.6952                        -99                    -99                25.7252                    2.5
            255           38220           10.19               1           1.304         8990.18       1.355e+11            62.7           20.26           27.63           10.09         3.01872     1.36664e-07     2.05908e-07         1.06973         1.61174             0.143439                        -99                3.01872                30.6487                    4.0
            256           38235           12.12               1           2.352         18681.1       5.152e+11           71.09           71.09           331.9           80.78         6.45336      1.9094e-07     2.31523e-07         6.45336         7.82496             0.265608                        -99                    -99                338.353                    1.0
            257             -99           15.97               0           2.431         19452.9       1.914e+10           371.1           29.64           259.3            29.8         28.3298             -99             -99             -99             -99              20.8489                        -99                28.3298                 287.63                    4.0
            262           38240           1.376               0          0.3712          1917.7       2.754e+08          0.1611          0.1185          0.7016          0.5099        0.348071      9.7729e-07     9.77954e-07        0.348071        0.348307             0.156641                        -99                    -99                1.04967                    1.0
            264           38239           4.153               1           2.515         20278.5       2.004e+10           16.85           16.85            81.7           34.48         2.55413     6.41341e-08     8.98912e-08         2.55413         3.57991              6.15978                        -99                    -99                84.2541                    1.0
            270             -99           1.144               0             1.4         9824.04       4.092e+09           2.462           2.462           15.53           13.58         10.8258             -99             -99             -99             -99              10.8258                        -99                    -99                26.3558                    2.0
            277             -99           2.199               0            2.23         17498.4       1.052e+10           2.617           2.617           59.88           47.21         11.1291             -99             -99             -99             -99              11.1291                        -99                    -99                71.0091                    2.0
            288           38192           4.466               0          0.4013         2104.68       7.447e+09          0.1519          0.1519           1.315          0.8448        0.684548      1.5957e-06     1.78395e-06        0.684548        0.765311             0.396417                        -99                    -99                1.99955                    1.0
            289           38218           5.571               0           3.075         25896.4       5.272e+10           101.4           101.4           426.5           136.5         18.6636     2.87365e-07     4.39027e-07         18.6636         28.5137              8.30144                        -99                    -99                445.164                    1.0
            309             -99           1.331               0           4.851         44666.1           1e-99           226.2           226.2           370.3           278.2         40.4572             -99             -99             -99             -99                  -99                    40.4572                    -99                410.757                    3.0
            314             -99           1.489               0           0.401         2102.79           1e-99          0.1674          0.0782          0.6532          0.4387       0.0713654             -99             -99             -99             -99                  -99                  0.0713654                    -99               0.724565                    3.0
