#            id        id_3DHST          SNR_IR        goodArea            z_IR              dL           Mstar           xfAGN           xeAGN          SFR_IR         eSFR_IR          SFR_UV           S1400           S1700      SFR_UV1400      SFR_UV1700    SFR_UV_from_Mstar    SFR_UV_for_noUV_noMstar         SFR_UV_for_AGN              SFR_total           SFR_UV_method
#
           4901           29528           3.209               1            1.97         15018.7       1.028e+10          0.8084          0.8084           12.95           4.036         4.46895     2.04576e-07       2.777e-07         4.46895         6.06633              2.48588                        -99                    -99                17.4189                    1.0
           4905           29439           9.722               1           1.306          9007.4       2.897e+10           3.022           3.022           40.32           4.147           9.686     1.23271e-06     1.46216e-06           9.686         11.4889              1.81465                        -99                    -99                 50.006                    1.0
           4912           29415           4.277               1          0.5705         3223.51        5.37e+09         0.03041         0.03041           1.582          0.3699         1.30123     1.29305e-06     1.38347e-06         1.30123         1.39223             0.753776                        -99                    -99                2.88323                    1.0
           4916             -99           0.255               1          0.5128         2830.83       1.294e+09         0.07267         0.05642          0.5778           2.266        0.129001             -99             -99             -99             -99             0.129001                        -99                    -99               0.706801                    2.5
           4917           29462           6.664               1          0.9414          5983.7       1.076e+10           1.635           1.635           12.85           1.928        0.208919     6.02495e-08     1.01793e-07        0.208919        0.352974              2.31401                        -99                    -99                13.0589                    1.0
           4919           29463           2.216               1            1.25         8527.46        3.63e+09           1.222           1.142           10.21           4.607         9.60978     1.36455e-06     1.52833e-06         9.60978         10.7632              2.27951                        -99                    -99                19.8198                    1.0
           4924           29609           5.342               1           1.535         11019.1       4.265e+09           15.98           15.98           45.47           14.46         6.04999     5.14492e-07     5.96196e-07         6.04999         7.01075              29.9115                        -99                    -99                  51.52                    1.0
           4937             -99           11.41               0           0.542         3028.22       2.301e+10           1.411           1.411           5.479          0.4801        0.340422             -99             -99             -99             -99             0.340422                        -99                    -99                5.81942                    2.0
           4945           29487           4.681               1           1.847         13867.2       2.466e+10           7.877           5.926           51.94           13.43         8.48243     4.55467e-07     5.45046e-07         8.48243         10.1507              2.92895                        -99                    -99                60.4224                    1.0
           4954           29300           7.436               1           2.032         15604.6       6.194e+10           6.734           6.734           116.4           15.65         7.23682     3.06871e-07     4.46717e-07         7.23682         10.5347              1.80798                        -99                    -99                123.637                    1.0
           4955           28909           18.06               1          0.3551         1819.54       2.897e+10          0.5726          0.5726           2.959          0.1638        0.507118     1.58162e-06     1.79804e-06        0.507118        0.576509             0.133173                        -99                    -99                3.46612                    1.0
           4974           29138           11.18               1           1.013         6557.24       2.523e+10           2.505           2.505           23.72           2.184         2.77889     6.67337e-07     8.34967e-07         2.77889         3.47693              1.29548                        -99                    -99                26.4989                    1.0
           4986             -99           7.403               0            1.42         9999.49        6.95e+10           27.29           27.29           42.94           21.95        0.567653             -99             -99             -99             -99             0.567653                        -99                    -99                43.5077                    2.0
           4990           29485           13.81               1           4.161         37234.3       2.099e+10           126.2           126.2           687.5           49.78         10.9939     8.18803e-08     1.03551e-07         10.9939         13.9035              48.5798                        -99                    -99                698.494                    1.0
           4991           28959           1.932               1          0.3948         2063.93       1.778e+09         0.03619         0.03619          0.4078          0.2111        0.463583     1.12371e-06     1.22199e-06        0.463583        0.504127            0.0910463                        -99                    -99               0.871383                    1.0
           4993           29183           0.098               1           3.127         26427.1       1.265e+11           8.803           8.803           50.68           517.1         22.3376     3.30258e-07     7.62842e-07         22.3376         51.5962             0.289674                        -99                    -99                73.0176                    1.0
           4995           29489           5.751               1           3.429         29535.8       6.486e+10           62.33           62.33           418.2           124.8         7.57561     8.96679e-08     1.24531e-07         7.57561         10.5211              6.08999                        -99                    -99                425.776                    1.0
           4996           29321           4.834               1           0.915         5775.09       6.194e+09          0.9181          0.9181           10.28           2.127         1.64497     5.09279e-07     6.29566e-07         1.64497          2.0335              4.01082                        -99                    -99                 11.925                    1.0
           4997           29428           3.334               1            2.42         19345.2       1.828e+10           16.62           16.62            73.5           40.72         14.9549     4.12624e-07     5.63214e-07         14.9549         20.4128              6.30261                        -99                    -99                88.4549                    1.0
           4999           29367           3.236               0           1.588         11494.8       8.165e+09           1.656           1.656           26.42           8.164          6.1422     4.79993e-07      6.0125e-07          6.1422         7.69386              7.00155                        -99                    -99                32.5622                    1.0
           5000           29432           1.088               1           1.768         13135.7       5.248e+09          0.6427          0.6427           12.11           11.13          1.8082     1.08207e-07     1.33282e-07          1.8082         2.22723              5.95872                        -99                    -99                13.9182                    1.0
           5007           29293           12.64               1          0.7783         4722.46       1.005e+10           1.072           1.072           16.51           1.424        0.234842     1.08732e-07     2.00534e-07        0.234842         0.43312              3.27126                        -99                    -99                16.7448                    1.0
           5010           29446           2.191               1           1.812         13542.4       7.447e+09            5.02           1.833           9.063           4.136          3.4944     1.96744e-07      2.3637e-07          3.4944          4.1982              2.73211                        -99                    -99                12.5574                    1.0
           5012           29352           7.486               1            1.47         10440.6       2.897e+10           11.84           11.84           45.58            15.6        0.143884     1.36295e-08     2.82304e-08        0.143884        0.298024              2.05138                        -99                    -99                45.7239                    1.0
           5016           29033           2.013               1          0.5643          3180.8       3.251e+10          0.1332          0.1152           1.607          0.7983        0.041429     4.22812e-08       6.432e-08        0.041429       0.0630237            0.0615449                        -99                    -99                1.64843                    1.0
           5023           28216           93.54               1           0.278         1369.46       8.749e+10           1.454           1.454           13.32           1.167        0.652038     3.58995e-06     3.64047e-06        0.652038        0.661215             0.127574                        -99                    -99                 13.972                    1.0
           5026           29266           1.587               1           2.936         24484.9       1.052e+10           2.474           2.099           115.9           73.03           26.39     4.54527e-07     5.80852e-07           26.39         33.7245              21.5408                        -99                    -99                 142.29                    1.0
           5028           28015           47.17               1          0.2537         1235.14       2.897e+10          0.3355          0.3355           3.436          0.2663         1.09298     7.39772e-06     6.10138e-06         1.09298        0.901456             0.154641                        -99                    -99                4.52898                    1.0
           5029           28930           4.709               1          0.3215         1619.16       2.818e+09         0.01258         0.01258          0.2779         0.06007        0.146001     5.75032e-07     7.01006e-07        0.146001        0.177986            0.0620446                        -99                    -99               0.423901                    1.0
           5033           29366           1.553               1            1.24         8442.29       1.101e+10           1.235           1.235           7.285           5.448        0.922286     1.33617e-07     1.53513e-07        0.922286         1.05962              1.27036                        -99                    -99                8.20729                    1.0
           5034           29319           0.474               1            1.97         15018.7       7.111e+09           3.478           3.478           11.46           24.18         17.5751     8.04541e-07     9.36404e-07         17.5751         20.4557              3.68537                        -99                    -99                29.0351                    1.0
           5042           29211               0               1           2.133         16566.5       1.127e+10           2.174           2.174           18.11           18.11         17.9237     6.74345e-07     8.80297e-07         17.9237         23.3978               3.0565                        -99                    -99                36.0337                    1.0
           5050           27331               0               1          0.8309         5121.76       6.486e+12         0.02982         0.02982         0.08414         0.08414     5.97817e-05     2.35313e-11     1.10762e-09     5.97817e-05      0.00281392          1.94194e-06                        -99                    -99              0.0841998                    1.0
           5055           28850           17.58               1           0.639         3703.25       2.051e+10          0.9892          0.9892           11.63          0.6616        0.146233     1.10102e-07     1.56685e-07        0.146233        0.208101             0.848844                        -99                    -99                11.7762                    1.0
           5057           29218           0.968               1            2.19         17113.2       9.593e+09           3.721           3.721           14.42            14.9         5.46348      1.9263e-07      2.5236e-07         5.46348         7.15757               3.0495                        -99                    -99                19.8835                    1.0
           5064           29153           2.263               0          0.4067         2138.67       6.165e+08          0.2358          0.1858          0.9934          0.6532        0.966501     2.18187e-06      2.3419e-06        0.966501         1.03739             0.221789                        -99                    -99                 1.9599                    1.0
           5067           29098           6.095               1           2.046         15737.4       3.034e+10           57.83           17.56           91.28           30.39         5.18317     2.16095e-07     3.78828e-07         5.18317         9.08644              3.85083                        -99                    -99                96.4632                    1.0
           5070           29329            0.72               1           0.061         280.327           46770        0.001368        0.001368         0.01166         0.01619       0.0010119     1.32961e-07     1.44147e-07       0.0010119      0.00109703           0.00260324                        -99                    -99              0.0126719                    1.0
           5080           29071           4.182               1           1.249         8518.94       8.165e+09          0.7152          0.7152           18.61            4.45         1.69392     2.41012e-07     3.35243e-07         1.69392         2.35621              4.93183                        -99                    -99                20.3039                    1.0
           5089           29021           7.357               1           1.988         15188.5       3.251e+10           12.56           12.56           178.9           24.32         3.35128     1.50002e-07      2.2955e-07         3.35128         5.12849              6.85151                        -99                    -99                182.251                    1.0
           5090           28810           6.689               1           2.295         18127.1       1.355e+11           18.37           18.37           436.5           147.2         1.21598     3.82107e-08     5.31205e-08         1.21598         1.69045              2.26605                        -99                    -99                437.716                    1.0
           5095           29110           0.995               1           1.808         13505.3       7.797e+09           6.369           3.684            13.3           13.37         8.86936     5.02112e-07     6.59633e-07         8.86936         11.6518               3.7597                        -99                    -99                22.1694                    1.0
           5097           28640            11.6               1          0.4844         2641.48       4.285e+10           2.581           2.581           4.833          0.7809        0.690234     1.02145e-06     1.10405e-06        0.690234        0.746047             0.125744                        -99                    -99                5.52323                    1.0
           5101           28834           3.855               1           0.945         6012.27       1.355e+10           1.548           1.067           6.747           1.765         1.75318     5.00801e-07     7.67975e-07         1.75318         2.68849             0.879824                        -99                    -99                8.50018                    1.0
           5114           28993           2.975               1           1.787         13311.1        1.18e+10           1.559           1.559           22.02           7.402         19.7685     1.15203e-06     1.35892e-06         19.7685         23.3187              3.48484                        -99                    -99                41.7885                    1.0
           5122             -99           1.299               0           1.697           12484       1.914e+10           6.912           6.912           34.78           26.77         2.79647             -99             -99             -99             -99              2.79647                        -99                    -99                37.5765                    2.0
           5125           28979           2.838               1           1.333         9240.59       1.706e+10           0.894           0.894           12.77             4.5         6.23349     7.53786e-07     8.76151e-07         6.23349         7.24539               1.2062                        -99                    -99                19.0035                    1.0
           5129           29015           0.866               1           0.879         5493.28       5.011e+09          0.4272          0.4272           2.206           2.547       0.0373761     1.27893e-08     1.23333e-08       0.0373761       0.0360435              1.15801                        -99                    -99                2.24338                    1.0
           5133           29054            10.2               1           1.145          7641.8       1.914e+10           1.383           1.383           30.46           2.987        0.412897     7.30074e-08     9.55763e-08        0.412897        0.540536              2.44913                        -99                    -99                30.8729                    1.0
           5138           28454           7.207               1          0.7041         4172.44       9.375e+10          0.9232          0.9232           5.538          0.7684        0.874117      5.1845e-07     4.62002e-07        0.874117        0.778945            0.0481497                        -99                    -99                6.41212                    1.0
           5146           29168               0               1           1.829           13700       4.168e+08          0.7153          0.7153           7.964           7.964        0.749753     4.12471e-08     4.47744e-08        0.749753        0.813869              1.77806                        -99                    -99                8.71375                    1.0
           5147           28589           14.73               1           0.563         3171.87       5.623e+09          0.8266          0.8266           7.759          0.5267        0.742232     7.61774e-07     9.74407e-07        0.742232         0.94941              3.46617                        -99                    -99                8.50123                    1.0
           5148           29059           4.838               1            2.09         16155.9       5.395e+10           25.22           25.22           80.14           30.11         1.04115     4.11876e-08     6.29501e-08         1.04115         1.59127              1.51029                        -99                    -99                81.1811                    1.0
           5155           28951            1.27               1           1.713         12630.4       1.265e+10           6.564           3.578           15.21           11.98         2.58468     1.67297e-07     2.01512e-07         2.58468          3.1133              2.18375                        -99                    -99                17.7947                    1.0
           5156           29067           2.197               1            3.32         28408.7       1.592e+10           4.116           2.114           198.8           90.49         8.21994     1.05167e-07     1.54188e-07         8.21994         12.0514              20.6869                        -99                    -99                 207.02                    1.0
           5162           28941           3.785               1          0.7779         4719.45       4.073e+09         0.04984         0.04984           2.171          0.5736          1.3741     6.37017e-07     7.20289e-07          1.3741         1.55372              1.52328                        -99                    -99                 3.5451                    1.0
           5168           28673           16.78               1           0.514         2838.88       3.404e+10           1.105           1.105           6.808          0.4056        0.294566     3.77401e-07     4.01771e-07        0.294566        0.313587             0.244475                        -99                    -99                7.10257                    1.0
           5170           28744           8.934               1          0.6821         4012.46       6.194e+09          0.9066          0.9066           6.149          0.6883         1.09146     7.00011e-07     1.08197e-06         1.09146         1.68702              2.39908                        -99                    -99                7.24046                    1.0
           5171           28890           2.168               1           2.466         19796.3       8.355e+10           2.764           2.764           78.09           36.02        0.797503     2.10126e-08     4.12228e-08        0.797503         1.56455             0.797757                        -99                    -99                78.8875                    1.0
           5177           28905           7.706               1            1.87         14081.4       2.897e+10           14.64           14.64           92.61           42.04          1.5895      8.2772e-08     9.78887e-08          1.5895         1.87979              4.16802                        -99                    -99                94.1995                    1.0
           5185           28908           0.323               0            0.68         3997.26        3.63e+09         0.06964         0.06964           1.595           4.938        0.671437     4.33907e-07     4.81293e-07        0.671437        0.744763             0.356103                        -99                    -99                2.26644                    1.0
           5187           28584           28.36               1          0.5024         2761.18       1.005e+10          0.8822          0.8822            10.3          0.3632       0.0637701     8.63661e-08     1.02071e-07       0.0637701       0.0753659              2.04082                        -99                    -99                10.3638                    1.0
           5205           27688            4.06               1           0.173         815.436       7.979e+09         0.08062         0.02171         0.04979         0.03323       0.0972546     1.51024e-06      1.6833e-06       0.0972546        0.108399            0.0136274                        -99                    -99               0.147045                    1.0
           5206           28775           1.355               1          0.9081         5720.84       1.127e+10          0.3354          0.3354           2.303             1.7      0.00556236     1.75492e-09     5.15422e-09      0.00556236       0.0163368             0.388687                        -99                    -99                2.30856                    1.0
           5211           28821           9.604               1           2.416           19306        7.62e+10           25.73           25.73           147.2           34.79         1.09595     3.03614e-08     5.18305e-08         1.09595         1.87092              1.71069                        -99                    -99                148.296                    1.0
           5215             -99           20.08               0           2.368         18837.1       5.152e+10           11.99           11.99           530.3           26.41           10.66             -99             -99             -99             -99                10.66                        -99                    -99                 540.96                    2.0
           5218           28766           1.074               1           1.037         6751.89       1.294e+10           0.875           0.875            4.93            4.59       0.0644201     1.45911e-08     1.96106e-08       0.0644201       0.0865814             0.685708                        -99                    -99                4.99442                    1.0
           5225             -99           2.368               0           1.917         14520.7       1.355e+10           12.36           5.834           27.91           11.79         3.63953             -99             -99             -99             -99              3.63953                        -99                    -99                31.5495                    2.0
           5238           28773           11.75               1           0.909         5727.91        7.62e+09           11.34           11.34           15.27           4.665        0.223787     7.04302e-08     1.30582e-07        0.223787        0.414914              4.45761                        -99                    -99                15.4938                    1.0
           5242           28356           1.248               1          0.4543         2443.86       9.593e+09          0.1072         0.04791          0.6492          0.5202       0.0255492     4.41713e-08     5.53048e-08       0.0255492       0.0319889             0.137291                        -99                    -99               0.674749                    1.0
           5245           28856               0               1           0.656         3824.54       6.025e+08           1.285            0.42           1.618           1.618        0.181872     1.28388e-07     1.39534e-07        0.181872        0.197662             0.361238                        -99                    -99                1.79987                    1.0
           5255           28612           2.664               1          0.8508         5274.75       5.623e+09          0.4556          0.4556           3.554           1.647         2.41265      8.9538e-07     1.01528e-06         2.41265         2.73573              1.58768                        -99                    -99                5.96665                    1.0
           5256           28805           5.165               1           2.319         18360.1       3.819e+10              20              20           80.13           17.49        0.166242     5.09224e-09     1.37719e-08        0.166242          0.4496              2.44943                        -99                    -99                80.2962                    1.0
           5258           28922           1.101               1           3.468         29940.3       9.161e+09           28.23           19.16           131.2           119.2         6.69246     7.70884e-08     9.07401e-08         6.69246         7.87764              29.5947                        -99                    -99                137.892                    1.0
           5265           28826           6.404               0            2.36         18759.1       1.324e+11            45.4            45.4           296.2           123.1         3.03119     8.89421e-08     1.26297e-07         3.03119         4.30428              1.58833                        -99                    -99                299.231                    1.0
           5270           28121           20.38               1            1.02         6613.89       1.556e+10           87.59           17.89           19.88           3.583         2.17199     3.71066e-05     4.08597e-05         157.199         173.099              2.13601                        -99                2.17199                 22.052                    4.0
           5273             -99           2.903               1          0.4579         2467.32       4.385e+10         0.03838         0.03838           0.986          0.3396       0.0248382             -99             -99             -99             -99            0.0248382                        -99                    -99                1.01084                    2.0
           5293             -99           2.418               0           1.261         8621.33       2.148e+10           2.248           2.248            13.7           5.666        0.937287             -99             -99             -99             -99             0.937287                        -99                    -99                14.6373                    2.0
           5296           28530           5.136               1           0.956         6099.75       3.564e+10           1.877           1.877           8.814           1.716        0.129515     3.59429e-08      6.0345e-08        0.129515        0.217445             0.296798                        -99                    -99                8.94352                    1.0
           5309           28676           1.531               1          0.8709         5430.31       2.818e+09          0.6395          0.6395           3.029           1.978        0.435903     1.52636e-07     1.66082e-07        0.435903        0.474301             0.676261                        -99                    -99                 3.4649                    1.0
           5321             -99           18.17               0          0.6806          4001.6       2.099e+10          0.8275          0.8275           19.18           1.056         1.35529             -99             -99             -99             -99              1.35529                        -99                    -99                20.5353                    2.0
           5325           27258           63.97               1          0.4372         2333.13       1.005e+11          0.6807          0.6807           20.07          0.3138         2.86097     5.42689e-06     5.45122e-06         2.86097          2.8738             0.158312                        -99                    -99                 22.931                    1.0
           5329           28599           2.402               1           2.135         16585.6       1.076e+10           3.734           3.734           15.91            7.37         7.07066     2.65407e-07     3.08979e-07         7.07066         8.23145              2.86506                        -99                    -99                22.9807                    1.0
           5337           28511            9.08               0            1.74         12878.1       1.786e+10           49.82           49.82           157.1           80.68         7.40388     4.60971e-07     6.17839e-07         7.40388         9.92341              13.9169                        -99                    -99                164.504                    1.0
           5342           28649           0.883               1          0.3375          1713.8       1.122e+07         0.01169        0.009048          0.6259          0.7088        0.011056     3.88679e-08      4.8146e-08        0.011056       0.0136951              0.13974                        -99                    -99               0.636956                    1.0
           5346           28005              38               1          0.4574         2464.06       1.387e+10           4.502           4.502           16.12          0.5248        0.395525     6.72649e-07     7.67703e-07        0.395525        0.451418               2.0345                        -99                    -99                16.5155                    1.0
           5347           28379           8.502               1           1.142         7616.78       1.355e+10           2.798           2.798           22.82           2.684         4.14098     7.37016e-07     9.01628e-07         4.14098         5.06587              2.97578                        -99                    -99                 26.961                    1.0
           5348           28197           22.28               1           0.975         6251.48       7.447e+10           4.214           4.214           47.45            2.13         1.01383     2.67864e-07      4.7207e-07         1.01383         1.78672             0.569459                        -99                    -99                48.4638                    1.0
           5350           28565           1.883               1           1.871         14090.7       8.165e+10           4.189           4.189           32.76            17.4        0.396506     2.06205e-08     2.85867e-08        0.396506        0.549688             0.345625                        -99                    -99                33.1565                    1.0
           5358           27978           10.78               1           0.503         2765.19       3.104e+10          0.6601          0.6601            3.32          0.3081        0.930374     1.25639e-06     1.34315e-06        0.930374        0.994624             0.135659                        -99                    -99                4.25037                    1.0
           5359           28451           4.112               1           1.147         7658.48       2.965e+10           1.068           1.068           7.926           5.292        0.212399     3.73923e-08     5.23664e-08        0.212399        0.297455             0.345318                        -99                    -99                 8.1384                    1.0
           5363           28575            0.34               1           2.078         16041.6       1.208e+10           6.221           6.221           41.21           121.2         11.4123     4.57925e-07     5.80006e-07         11.4123         14.4548              6.31116                        -99                    -99                52.6223                    1.0
           5366           28505           1.182               1           1.713         12630.4       1.028e+10           3.245           2.787           15.75           13.32         3.58163     2.31826e-07     3.02197e-07         3.58163         4.66885              3.02336                        -99                    -99                19.3316                    1.0
           5371           28491            1.88               1          0.5128         2830.83       5.128e+09          0.1594         0.06245          0.8679          0.4616        0.945346     1.21809e-06     1.31703e-06        0.945346         1.02213             0.441105                        -99                    -99                1.81325                    1.0
           5372           28493           2.834               1           1.675         12283.3        4.57e+09           1.137           1.137           15.45           5.452         17.4395      1.1935e-06     1.34439e-06         17.4395         19.6443              9.22669                        -99                    -99                32.8895                    1.0
           5374           28375           2.029               1          0.8489          5260.1       4.073e+09          0.1255          0.1255           2.142           1.056         1.63391     6.09757e-07     7.45229e-07         1.63391         1.99692              1.50293                        -99                    -99                3.77591                    1.0
           5375           27888           9.411               1          0.4879         2664.67       7.797e+09          0.7728          0.7728            2.87           0.305          1.6129      2.3455e-06     2.17475e-06          1.6129         1.49548             0.811303                        -99                    -99                 4.4829                    1.0
           5382           28422           0.023               1           2.267         17855.9       1.828e+10           16.26           9.351           21.44           932.2         4.36034     1.41213e-07     1.84536e-07         4.36034         5.69805              1.83848                        -99                    -99                25.8003                    1.0
           5395           28524           9.111               1           1.481         10538.1       3.548e+09           27.43           27.43           29.14           12.32         1.48635     1.38201e-07     1.92029e-07         1.48635         2.06527              6.50586                        -99                    -99                30.6263                    1.0
           5402           28214           1.556               1           0.682         4011.73        3.09e+09          0.1128          0.1128           1.886           1.212          2.4336     1.56136e-06     1.75969e-06          2.4336         2.74274             0.421073                        -99                    -99                 4.3196                    1.0
           5411           28201           1.113               1           1.965         14971.6       2.466e+10           4.476           4.476           35.81           32.17         12.1065     5.57695e-07     6.65511e-07         12.1065          14.447              2.01936                        -99                    -99                47.9165                    1.0
           5424           28257            2.62               1           1.488         10600.2       2.704e+10           2.895           2.895           18.52           7.363         3.28277     3.01666e-07      3.5758e-07         3.28277         3.89124             0.917977                        -99                    -99                21.8028                    1.0
           5426           28215           3.508               1           1.038         6760.03       1.355e+10           1.338           1.338           7.232           2.693        0.130414     2.94675e-08     4.35066e-08        0.130414        0.192546             0.943069                        -99                    -99                7.36241                    1.0
           5427           28284           1.318               1           1.019          6605.8       6.637e+09          0.6013          0.6013           4.614           3.501         1.88709     4.46539e-07     5.39109e-07         1.88709          2.2783              1.63424                        -99                    -99                6.50109                    1.0
           5435           28377           2.881               1           1.414          9946.8       1.236e+10           2.259           2.259           13.31           6.079         3.58292     3.73927e-07     4.56894e-07         3.58292          4.3779              1.97402                        -99                    -99                16.8929                    1.0
           5438           27845           5.901               1            0.85         5268.58       2.355e+10           8.562           8.562           8.281            2.02        0.904741     4.01321e-08     8.82995e-08        0.107885        0.237372             0.498076                        -99               0.904741                9.18574                    4.0
           5446           28247             3.5               1           1.413         9938.02       2.831e+10           4.921           4.921           17.85           8.824         4.48019     4.68396e-07      5.7354e-07         4.48019         5.48589             0.829703                        -99                    -99                22.3302                    1.0
           5450             -99           2.343               0           1.073         7046.03       7.277e+09           2.246           2.246           10.67            7.93         3.32224             -99             -99             -99             -99              3.32224                        -99                    -99                13.9922                    2.0
           5459           28090           2.421               1           0.021         96.1961       5.128e+06        3.74e-06        3.74e-06        0.001078        0.001076      0.00347392     3.87633e-06     4.35124e-06      0.00347392      0.00389952          0.000240677                        -99                    -99             0.00455192                    1.0
           5464           27900            0.28               1           2.292           18098       2.704e+10           3.967           3.967           14.84              53          8.3341     2.62732e-07     3.28191e-07          8.3341         10.4105             0.735571                        -99                    -99                23.1741                    1.0
           5484           28180           1.682               1            1.53         10974.4       1.387e+10           3.415           3.415           14.11           9.639        0.466015     3.99535e-08     4.23767e-08        0.466015        0.494278              1.78082                        -99                    -99                 14.576                    1.0
           5509           28067           3.634               1          0.5946         3390.63       4.365e+09          0.0296          0.0296           1.045          0.2876        0.689182     6.18997e-07     7.62972e-07        0.689182        0.849481             0.665485                        -99                    -99                1.73418                    1.0
           5512           27851           14.46               1          0.9438         6002.75       7.277e+10           4.224           4.224           24.56           1.699         1.39904     4.00911e-07     4.64711e-07         1.39904         1.62168             0.304435                        -99                    -99                 25.959                    1.0
           5515           28147           9.167               1           1.246         8493.37       1.355e+10           1.445           1.445           30.34            3.31          1.7377     2.48731e-07     3.03248e-07          1.7377         2.11856               3.9564                        -99                    -99                32.0777                    1.0
           5518           28167           1.807               0            1.46         10352.1       4.385e+10           5.416           5.416            17.1           12.48        0.968035     9.32718e-08     1.24318e-07        0.968035         1.29025             0.430763                        -99                    -99                 18.068                    1.0
           5520             -99               0               0           1.804         13468.3        8.55e+10           1.008           1.008           7.728           7.728       0.0764389             -99             -99             -99             -99            0.0764389                        -99                    -99                7.80444                    2.0
           5523           28202               0               1           3.229         27472.1       1.208e+10           7.382           7.382           54.13           54.13         25.4651       3.484e-07      4.4879e-07         25.4651         32.8028              8.28981                        -99                    -99                79.5951                    1.0
           5526           27532           12.82               1          0.3766         1950.92       1.486e+10          0.4919          0.4919            2.22          0.1731        0.887527      2.4078e-06     2.39031e-06        0.887527         0.88108             0.254406                        -99                    -99                3.10753                    1.0
           5529           28283           1.517               1            2.81         23214.7       1.959e+10            5.97            5.97           38.99           29.63         22.6547      4.3406e-07     5.27632e-07         22.6547         27.5385              3.03462                        -99                    -99                61.6447                    1.0
           5530           27853           22.36               1          0.4842         2640.16       4.385e+10           3.474           3.474           7.818          0.8967         1.15806     1.71549e-06     1.79497e-06         1.15806         1.21172             0.196942                        -99                    -99                8.97606                    1.0
           5531             -99           1.752               0          0.2365         1142.43       1.959e+07        0.001419        0.001419          0.2074          0.1184       0.0463046             -99             -99             -99             -99            0.0463046                        -99                    -99               0.253705                    2.5
