#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.612     0.04343        2.15     0.02443    0.002443
      0.5563      -1.687     0.04343         3.6     0.02055    0.002055
      0.6532      -1.719     0.04343         4.5     0.01909    0.001909
      0.7634      -1.791     0.04343         5.8     0.01618    0.001618
      0.8976      -1.445     0.04343         7.9     0.03586    0.003586
       1.204      -1.088     0.04651          16     0.08165    0.008745
        1.38     -0.9469     0.04343          24       0.113      0.0113
           2      0.5797     0.04343         100       3.799      0.3799
       2.204      0.7429      0.0573         160       5.532      0.7299
       5.301      -2.008      0.1079       2e+05    0.009823    0.002441
