#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.096     0.04343        2.15    0.008017   0.0008017
      0.5563      -1.841     0.04343         3.6     0.01441    0.001441
      0.6532      -1.796     0.04343         4.5     0.01601    0.001601
      0.7634      -1.768     0.04343         5.8     0.01706    0.001706
      0.8976      -1.895     0.04343         7.9     0.01273    0.001273
       1.204      -1.567      0.1606          16      0.0271     0.01002
        1.38     -0.6874     0.04343          24      0.2054     0.02054
           2    -0.01069      0.1543         100      0.9757      0.3467
       2.398      0.7658     0.08491         250       5.832        1.14
       2.544      0.9436      0.1123         350       8.783       2.272
       2.699      0.9102      0.1508         500       8.132       2.824
       5.301       -1.87     0.08554       2e+05     0.01349    0.002657
