#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.54     0.04343        2.15     0.02884    0.002884
      0.5563      -1.312     0.04343         3.6     0.04878    0.004878
      0.6532      -1.372     0.04343         4.5     0.04251    0.004251
      0.7634      -1.523     0.04343         5.8        0.03       0.003
      0.8976      -1.585     0.04343         7.9     0.02603    0.002603
       1.204     -0.9179     0.04343          16      0.1208     0.01208
        1.38     -0.8693     0.04343          24      0.1351     0.01351
           2      0.3796      0.0646         100       2.396      0.3565
       2.204      0.6461     0.07807         160       4.427      0.7957
       2.398      0.9319     0.05608         250        8.55       1.104
       2.544      0.9156      0.1284         350       8.235       2.434
       5.301      -1.493     0.08118       2e+05      0.0321       0.006
