#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.761      -2.761         5.8    0.000752    0.000491
      0.8976       -2.77       -2.77         7.9    0.000668    0.000516
       1.204      -1.842      -1.842          16   1.903e-10    0.007186
           2     -0.1673     -0.1673         100   1.792e-05      0.3401
       2.204       10.38       10.38         160      -117.8    1.19e+10
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.169      -2.169       2e+05    0.001095     0.00284
