#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.5563       5.301       5.301         3.6         -99       1e+05
      0.7634       5.301       5.301         5.8         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
        1.38       7.301       7.301          24         -99       1e+07
           2      0.6731      0.6731         100      0.8265       1.942
       2.204       1.098       1.098         160       2.587       4.973
       2.398       1.436       1.436         250       10.03       8.632
       2.544       1.393       1.393         350       10.38       7.176
       2.699       1.947       1.947         500       3.222       42.69
       2.929      0.5981      0.5981         850      0.4297       1.767
