#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.6532      -3.491      -3.491         4.5    0.000161     8.1e-05
      0.7634      -2.832      -2.832         5.8    0.000244    0.000615
      0.8976       -1000       -1000         7.9   -0.001342    0.000579
       1.204       -1.63       -1.63          16   1.903e-10     0.01172
        1.38      -1.693      -1.693          24    0.003236    0.008529
           2    -0.02797    -0.02797         100       0.255      0.3413
       2.204      0.2971      0.2971         160      0.4653      0.7584
       2.398      0.6706      0.6706         250   3.209e-07       2.342
       2.544       1.016       1.016         350   2.905e-07       5.186
       2.699       1.163       1.163         500   3.106e-07       7.283
       2.929      0.4329      0.4329         850   2.068e-10       1.355
