#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.82     0.04343        2.15     0.01514    0.001514
      0.5563       -1.56     0.04343         3.6     0.02754    0.002754
      0.6532      -1.587     0.04343         4.5     0.02589    0.002589
      0.7634      -1.779     0.04343         5.8     0.01663    0.001663
      0.8976       -1.74     0.04343         7.9      0.0182     0.00182
       1.204     -0.9813     0.04343          16      0.1044     0.01044
        1.38      -1.053     0.04437          24     0.08844    0.009035
           2      0.1108       0.122         100       1.291      0.3625
       2.204      0.5239     0.09826         160       3.341       0.756
       2.398      0.4981      0.1707         250       3.149       1.237
       5.301       -1.78     0.06541       2e+05      0.0166      0.0025
