#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
       1.204      -1.645      -1.645          16    0.004194    0.009233
        1.38      -1.777      -1.777          24   8.071e-11    0.008346
           2      0.3934      0.3934         100      0.8668      0.8035
       2.204      0.8442      0.8442         160   1.745e-05       3.493
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.269      -2.269       2e+05   0.0005761    0.002402
