#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.708     0.04343        2.15     0.01959    0.001959
      0.5563      -1.464     0.04343         3.6     0.03432    0.003432
      0.6532      -1.401     0.04343         4.5     0.03969    0.003969
      0.7634      -1.418     0.04343         5.8     0.03817    0.003817
      0.8976      -1.468     0.04343         7.9     0.03401    0.003401
        1.38     -0.9594     0.04343          24      0.1098     0.01098
           2      0.1468      0.1397         100       1.402      0.4512
       2.204      0.5962      0.1117         160       3.946       1.015
       2.398      0.9486       0.184         250       8.884       3.763
       2.929        0.44      0.1778         850       2.754       1.128
       5.301      -1.996      0.1114       2e+05     0.01009    0.002588
