#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.268     0.04343        2.15    0.005395   0.0005395
      0.5563          -2     0.04343         3.6    0.009993   0.0009993
      0.6532      -1.934     0.04343         4.5     0.01165    0.001165
      0.7634      -1.969     0.04343         5.8     0.01073    0.001073
      0.8976      -1.987     0.04343         7.9      0.0103     0.00103
       1.204      -1.459     0.07144          16     0.03476    0.005718
        1.38     -0.9289     0.04343          24      0.1178     0.01178
           2      0.3775     0.06182         100       2.385      0.3395
       2.204      0.4442      0.1368         160       2.781      0.8758
       2.398      0.7372     0.09493         250        5.46       1.194
