#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.836     0.04343        2.15      0.1459     0.01459
      0.5563      -1.177     0.04343         3.6     0.06648    0.006648
      0.6532      -1.264     0.04343         4.5      0.0545     0.00545
      0.7634      -1.353     0.04343         5.8     0.04433    0.004433
      0.8976     -0.6525     0.04343         7.9      0.2226     0.02226
       1.204     -0.4876     0.04343          16      0.3254     0.03254
        1.38     -0.2738     0.04343          24      0.5323     0.05323
           2       1.093     0.04343         100        12.4        1.24
       2.204       1.223     0.04343         160       16.71       1.671
       2.398      0.9818      0.1817         250        9.59       4.011
       5.301       -1.81     0.07565       2e+05      0.0155      0.0027
