#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.34     0.04343        2.15     0.04571    0.004571
      0.5563      -1.341     0.04343         3.6     0.04559    0.004559
      0.6532      -1.466     0.04343         4.5      0.0342     0.00342
      0.7634      -1.415     0.04343         5.8     0.03849    0.003849
      0.8976      -1.387     0.04343         7.9     0.04104    0.004104
       1.204     -0.8105     0.04343          16      0.1547     0.01547
        1.38     -0.5468     0.04343          24      0.2839     0.02839
           2      0.7473     0.04343         100       5.588      0.5588
       2.204       0.992     0.04343         160       9.818      0.9818
       2.398      0.9059     0.05616         250       8.051       1.041
       2.544      0.7039      0.1671         350       5.057       1.946
       5.301      -1.631     0.04939       2e+05     0.02337    0.002658
