#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.968      -2.968         5.8    0.000207    0.000435
      0.8976      -2.891      -2.891         7.9    0.000279    0.000503
       1.204      -1.603      -1.603          16   1.903e-10     0.01247
        1.38      -2.138      -2.138          24   8.071e-11    0.003639
           2     -0.1678     -0.1678         100   1.792e-05      0.3397
       2.204      0.3111      0.3111         160   1.745e-05       1.023
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
