#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.148     0.04343        2.15    0.007112   0.0007112
      0.5563      -1.794     0.04343         3.6     0.01606    0.001606
      0.6532      -1.718     0.04343         4.5     0.01916    0.001916
      0.7634      -1.668     0.04343         5.8     0.02146    0.002146
      0.8976      -1.773     0.04343         7.9     0.01685    0.001685
       1.204      -1.357     0.08556          16     0.04391    0.008651
        1.38     -0.8248     0.04343          24      0.1497     0.01497
           2      0.2152     0.09348         100       1.642      0.3533
       2.204      0.6544     0.06833         160       4.512        0.71
       2.398      0.7872     0.08074         250       6.126       1.139
       5.301      -2.098      0.1426       2e+05    0.007985    0.002621
