#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.6532       5.301       5.301         4.5         -99       1e+05
      0.7634      -2.524      -2.524         5.8    0.001365    0.000814
      0.8976      -2.467      -2.467         7.9   -0.000201    0.001805
       1.204       7.301       7.301          16         -99       1e+07
           2      0.3136      0.3136         100     0.02341       1.018
       2.204       1.209       1.209         160   1.745e-05       8.093
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.277      -2.277       2e+05  -0.0003987    0.002839
