#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.628     0.04343        2.15     0.02355    0.002355
      0.5563      -1.464     0.04343         3.6     0.03438    0.003438
      0.6532      -1.508     0.04343         4.5     0.03103    0.003103
      0.7634      -1.663     0.04343         5.8     0.02174    0.002174
      0.8976      -1.655     0.04343         7.9     0.02214    0.002214
       1.204     -0.8857     0.04343          16      0.1301     0.01301
        1.38     -0.9041     0.04343          24      0.1247     0.01247
           2      0.2986     0.07247         100       1.989      0.3318
       2.204      0.3617      0.1392         160         2.3      0.7373
       2.398      0.7663      0.1175         250       5.838       1.579
       5.301      -2.142       0.156       2e+05    0.007215    0.002591
