#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.364     0.04343        2.15    0.004325   0.0004325
      0.5563      -2.034     0.04343         3.6    0.009243   0.0009243
      0.6532      -1.937     0.04343         4.5     0.01155    0.001155
      0.7634       -1.79     0.04343         5.8     0.01621    0.001621
      0.8976      -1.903     0.04343         7.9     0.01251    0.001251
       1.204      -1.406     0.06996          16     0.03928    0.006328
        1.38       -0.66     0.04343          24      0.2188     0.02188
           2      0.6039     0.04343         100       4.017      0.4017
       2.204       1.079     0.04904         160       11.99       1.354
       2.398       1.178     0.05882         250       15.07       2.041
       2.544       0.855      0.2023         350       7.162       3.337
       2.699       1.392     0.06729         500       24.64       3.818
       2.929      0.5692      0.1568         850       3.708       1.339
       5.301      -1.257     0.04343       2e+05      0.0553     0.00553
