#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.5563       -3.87       -3.87         3.6     6.7e-05     3.4e-05
      0.6532      -3.646      -3.646         4.5    0.000102     6.2e-05
      0.7634      -3.433      -3.433         5.8   -0.000385    0.000377
      0.8976      -2.934      -2.934         7.9    0.000283    0.000441
       1.204       -1.83       -1.83          16   1.903e-10      0.0074
        1.38      -2.117      -2.117          24   8.071e-11    0.003818
           2     -0.1485     -0.1485         100   1.792e-05      0.3552
       2.204      0.1902      0.1902         160     0.08954      0.7299
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
