#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.784     0.04343        2.15     0.01644    0.001644
      0.5563      -1.581     0.04343         3.6     0.02622    0.002622
      0.6532      -1.596     0.04343         4.5     0.02535    0.002535
      0.7634      -1.726     0.04343         5.8     0.01878    0.001878
      0.8976      -1.605     0.04343         7.9     0.02485    0.002485
       1.204     -0.6347     0.04343          16      0.2319     0.02319
        1.38      -0.683     0.04343          24      0.2075     0.02075
           2      0.7617     0.04343         100       5.778      0.5778
       2.204      0.9034     0.05638         160       8.006       1.039
       2.398      0.7166       0.184         250       5.207       2.206
       5.301      -1.686     0.05692       2e+05      0.0206      0.0027
