#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.076     0.04343        2.15     0.08395    0.008395
      0.5563     -0.7967     0.04343         3.6      0.1597     0.01597
      0.6532     -0.7151     0.04343         4.5      0.1927     0.01927
      0.7634     -0.5989     0.04343         5.8      0.2518     0.02518
      0.8976     -0.4835     0.04343         7.9      0.3285     0.03285
       1.204     -0.2476     0.04343          16      0.5655     0.05655
        1.38     -0.0574     0.04343          24      0.8762     0.08762
           2      0.7339     0.04343         100       5.418      0.5418
       2.204       0.756     0.08485         160       5.701       1.114
       2.398      0.8208      0.1157         250       6.619       1.763
       5.301      -1.781     0.06734       2e+05     0.01655    0.002566
