#      _xxWS        ftot       firac        fagn        fsfr
#
      -0.798       0.293     0.02975           0      0.2633
      -0.788      0.2398     0.03111           0      0.2087
      -0.778      0.1873     0.03315           0      0.1542
      -0.768       0.135     0.03539           0     0.09962
      -0.758     0.08312     0.03804           0     0.04509
      -0.748      0.0409      0.0409           0  -5.702e-09
      -0.738     0.04249     0.04249           0  -5.808e-09
      -0.728     0.04411     0.04411           0  -5.916e-09
      -0.718     0.04385     0.04385           0  -6.026e-09
      -0.708     0.04438     0.04438           0  -6.138e-09
      -0.698     0.04447     0.04447           0  -6.252e-09
      -0.688     0.04473     0.04473           0  -6.369e-09
      -0.678     0.04416     0.04416           0  -6.487e-09
      -0.668     0.04517     0.04517           0  -6.608e-09
      -0.658      0.0459      0.0459           0  -6.731e-09
      -0.648     0.04622     0.04622           0  -6.856e-09
      -0.638     0.04636     0.04636           0  -6.983e-09
      -0.628     0.04607     0.04607           0  -7.113e-09
      -0.618      0.0455      0.0455           0  -7.245e-09
      -0.608     0.04494     0.04494           0   -7.38e-09
      -0.598     0.04447     0.04447           0  -7.517e-09
      -0.588     0.04445     0.04445           0  -7.657e-09
      -0.578     0.04403     0.04403           0  -7.799e-09
      -0.568     0.04386     0.04386           0  -7.944e-09
      -0.558     0.04412     0.04412           0  -8.092e-09
      -0.548     0.04494     0.04494           0  -8.242e-09
      -0.538       0.045       0.045           0  -8.396e-09
      -0.528      0.0452      0.0452           0  -8.552e-09
      -0.518     0.04513     0.04513           0  -8.711e-09
      -0.508     0.04493     0.04493           0  -8.873e-09
      -0.498     0.04452     0.04452           0  -9.038e-09
      -0.488     0.04416     0.04416           0  -9.206e-09
      -0.478     0.04387     0.04387           0  -9.377e-09
      -0.468     0.04353     0.04353           0  -9.551e-09
      -0.458     0.04326     0.04326           0  -9.729e-09
      -0.448     0.04306     0.04306           0  -9.909e-09
      -0.438     0.04281     0.04281           0  -1.009e-08
      -0.428     0.04232     0.04232           0  -1.028e-08
      -0.418     0.04197     0.04197           0  -1.047e-08
      -0.408     0.04171     0.04171           0  -1.067e-08
      -0.398     0.04141     0.04141           0  -1.087e-08
      -0.388     0.04113     0.04113           0  -1.107e-08
      -0.378     0.04096     0.04096           0  -1.127e-08
      -0.368     0.04103     0.04103           0  -1.148e-08
      -0.358     0.04101     0.04101           0   -1.17e-08
      -0.348       0.041       0.041           0  -1.191e-08
      -0.338     0.04109     0.04109           0  -1.214e-08
      -0.328     0.04106     0.04106           0  -1.236e-08
      -0.318     0.04106     0.04106           0  -1.259e-08
      -0.308       0.041       0.041           0  -1.282e-08
      -0.298     0.04116     0.04116           0  -1.306e-08
      -0.288     0.04256     0.04256           0  -1.331e-08
