#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
       1.204      -1.797      -1.797          16   1.903e-10    0.007988
           2      0.1204      0.1204         100      0.5838      0.3678
       2.204      0.3256      0.3256         160      0.3375      0.8894
       2.398      0.8438      0.8438         250       3.421       1.779
       2.544      0.7742      0.7742         350       2.721       1.613
       2.699       0.957       0.957         500       0.344       4.357
       2.929        10.3        10.3         850   5.194e-42       1e+10
       3.064      0.3782      0.3782        1160      0.5111       0.939
       5.301      -2.037      -2.037       2e+05    0.003189    0.003001
