#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.772     0.04343        2.15      0.0169     0.00169
      0.5563      -1.477     0.04343         3.6     0.03335    0.003335
      0.6532      -1.431     0.04343         4.5     0.03707    0.003707
      0.7634      -1.521     0.04343         5.8      0.0301     0.00301
      0.8976      -1.349     0.04343         7.9     0.04479    0.004479
       1.204     -0.3718     0.04343          16      0.4248     0.04248
        1.38     -0.4845     0.04343          24      0.3277     0.03277
           2       1.192     0.04343         100       15.58       1.558
       2.204       1.405     0.04343         160       25.41       2.541
       2.398       1.307     0.04343         250       20.28       2.028
       2.544       1.167      0.1195         350       14.68       4.039
       5.301      -1.128     0.04436       2e+05      0.0744      0.0076
