#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.224     0.04343        2.15      0.0597     0.00597
      0.5563      -1.149     0.04343         3.6     0.07097    0.007097
      0.6532      -1.251     0.04343         4.5     0.05612    0.005612
      0.7634      -1.379     0.04343         5.8     0.04179    0.004179
      0.8976      -1.459     0.04343         7.9     0.03473    0.003473
       1.204     -0.8668     0.04343          16      0.1359     0.01359
        1.38     -0.8038     0.04343          24      0.1571     0.01571
           2      0.3564     0.07151         100       2.272      0.3741
       2.204      0.8322      0.0536         160       6.795      0.8386
       2.398      0.6913      0.1315         250       4.913       1.487
       5.301      -1.953      0.1005       2e+05     0.01114    0.002579
