#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.304     0.04343        2.15     0.04966    0.004966
      0.5563      -1.305     0.04343         3.6     0.04957    0.004957
      0.6532      -1.464     0.04343         4.5     0.03435    0.003435
      0.7634      -1.497     0.04343         5.8     0.03181    0.003181
      0.8976      -1.627     0.04343         7.9     0.02359    0.002359
        1.38      -0.699     0.04343          24         0.2        0.02
           2      0.3611     0.06652         100       2.296      0.3517
       2.204      0.6079     0.07981         160       4.054      0.7451
       2.398      0.9238      0.1014         250       8.391       1.959
       5.301      -2.171      0.1922       2e+05    0.006738    0.002982
