#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.5563       5.301       5.301         3.6         -99       1e+05
      0.7634       5.301       5.301         5.8         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
        1.38       7.301       7.301          24         -99       1e+07
           2        0.63        0.63         100   1.792e-05       2.133
       2.204      0.9991      0.9991         160   1.745e-05       4.989
       2.398        1.28        1.28         250       4.005       7.514
       2.544       1.308       1.308         350        5.95       7.191
       2.699       1.912       1.912         500       2.052       39.77
       2.929        10.3        10.3         850         -99       1e+10
       3.064       0.453       0.453        1160    2.13e-10       1.419
