#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -2.44     0.04343        2.15    0.003631   0.0003631
      0.5563       -2.16     0.04343         3.6    0.006911   0.0006911
      0.6532      -2.061     0.04343         4.5    0.008694   0.0008694
      0.7634      -1.943     0.04343         5.8     0.01139    0.001139
      0.8976      -1.994     0.04343         7.9     0.01014    0.001014
       1.204      -1.649      0.1811          16     0.02244    0.009355
        1.38     -0.6631     0.04343          24      0.2172     0.02172
           2      0.4163      0.0564         100       2.608      0.3386
       2.204      0.6403     0.07828         160       4.369      0.7874
       2.398      0.7707      0.1192         250       5.898       1.618
       5.301       -1.81     0.07285       2e+05      0.0155      0.0026
