#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.44     0.04343        2.15     0.03631    0.003631
      0.5563      -1.545     0.04343         3.6     0.02851    0.002851
      0.6532      -1.605     0.04343         4.5     0.02482    0.002482
      0.7634      -1.663     0.04343         5.8     0.02173    0.002173
      0.8976      -1.435     0.04343         7.9     0.03673    0.003673
       1.204     -0.9378     0.04343          16      0.1154     0.01154
        1.38     -0.8353     0.04343          24      0.1461     0.01461
           2      0.5687     0.04343         100       3.704      0.3704
       2.204      0.6999     0.07625         160       5.011      0.8797
       2.398      0.5456      0.1483         250       3.512         1.2
       5.301      -1.726     0.07854       2e+05      0.0188      0.0034
