#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.336     0.04343        2.15    0.004613   0.0004613
      0.5563      -1.955     0.04343         3.6     0.01109    0.001109
      0.6532      -1.856     0.04343         4.5     0.01393    0.001393
      0.7634      -1.759     0.04343         5.8     0.01742    0.001742
      0.8976      -1.715     0.04343         7.9     0.01927    0.001927
        1.38       -1.12     0.04343          24     0.07594    0.007594
           2      0.2395     0.08491         100       1.736      0.3394
       2.204      0.3884      0.1586         160       2.446      0.8931
       2.398      0.7295       0.155         250       5.364       1.915
       2.544       1.048     0.07087         350       11.16       1.821
       2.699       1.012     0.06864         500       10.29       1.626
       2.929       0.507       0.156         850       3.214       1.154
       5.301      -1.916     0.09559       2e+05     0.01213     0.00267
