#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.196     0.04343        2.15    0.006368   0.0006368
      0.5563      -1.861     0.04343         3.6     0.01377    0.001377
      0.6532      -1.804     0.04343         4.5     0.01569    0.001569
      0.7634      -1.845     0.04343         5.8     0.01428    0.001428
      0.8976      -1.957     0.04343         7.9     0.01103    0.001103
       1.204      -1.243     0.05749          16      0.0571    0.007558
        1.38      -1.369     0.04343          24     0.04278    0.004278
           2       0.356     0.06669         100        2.27      0.3485
       2.204      0.8717       0.051         160       7.442      0.8739
       2.398       1.095     0.04343         250       12.44       1.244
       2.544      0.9828     0.07735         350       9.611       1.712
       2.699      0.8367      0.1588         500       6.866       2.511
       5.301      -1.409     0.04343       2e+05       0.039      0.0039
