#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.5563       5.301       5.301         3.6         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
           2       6.451       6.451         100      0.3794   1.411e+06
       2.204      0.9187      0.9187         160       3.671       2.311
       2.398       1.255       1.255         250   3.209e-07       8.995
       2.544       1.308       1.308         350   2.905e-07       10.16
       2.699        10.3        10.3         500         -99       1e+10
       2.929       0.959       0.959         850       1.495       3.802
       3.064      0.7314      0.7314        1160       2.008        1.69
       5.301      -2.005      -2.005       2e+05    0.004134    0.002877
