#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.6532      -3.078      -3.078         4.5    0.000254    0.000291
      0.7634      -2.674      -2.674         5.8    0.000694    0.000713
       1.204       7.301       7.301          16         -99       1e+07
           2       5.646       5.646         100       2.497   2.212e+05
       2.204      0.6928      0.6928         160   1.745e-05       2.464
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.116      -2.116       2e+05    0.002265    0.002697
