#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.5563       5.301       5.301         3.6         -99       1e+05
      0.7634       5.301       5.301         5.8         -99       1e+05
      0.8976       -2.46       -2.46         7.9    0.001091    0.001187
       1.204       7.301       7.301          16         -99       1e+07
           2      0.1254      0.1254         100      0.5742      0.3802
       2.204      0.3888      0.3888         160     0.04868         1.2
       2.398      0.9713      0.9713         250       3.506       2.928
       2.544       1.086       1.086         350       4.213       3.986
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
