#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.528     0.04343        2.15     0.02965    0.002965
      0.5563      -1.283     0.04343         3.6     0.05207    0.005207
      0.6532      -1.267     0.04343         4.5     0.05406    0.005406
      0.7634      -1.391     0.04343         5.8     0.04064    0.004064
      0.8976      -1.483     0.04343         7.9     0.03286    0.003286
       1.204       -1.01     0.04343          16     0.09779    0.009779
        1.38     -0.8887     0.04343          24      0.1292     0.01292
           2    0.003045      0.1514         100       1.007      0.3511
       2.204      0.6469     0.07585         160       4.435      0.7746
       2.398      0.9172       0.052         250       8.264      0.9896
       2.544      0.8596      0.1146         350       7.238        1.91
       5.301      -1.965      0.1116       2e+05     0.01084    0.002785
