#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.364     0.04343        2.15    0.004325   0.0004325
      0.5563      -2.196     0.04343         3.6     0.00637    0.000637
      0.6532       -2.17     0.04343         4.5    0.006767   0.0006767
      0.7634      -2.057     0.04343         5.8    0.008768   0.0008768
      0.8976      -2.019     0.04343         7.9    0.009568   0.0009568
        1.38      -1.378     0.04343          24     0.04187    0.004187
       2.204       0.177       0.158         160       1.503      0.5468
       2.398       0.888     0.06192         250       7.728       1.102
       2.544      0.9907     0.05389         350       9.789       1.215
       2.699       1.163     0.07581         500       14.55       2.539
       2.929      0.7396     0.08135         850        5.49       1.028
       3.064      0.4268       0.118        1160       2.672      0.7258
       5.301      -1.585     0.09855       2e+05       0.026      0.0059
