#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -3.064     0.04343        2.15    0.000863    8.63e-05
      0.5563      -2.401     0.04343         3.6    0.003975   0.0003975
      0.6532      -2.398     0.04343         4.5       0.004      0.0004
      0.7634      -2.202     0.04343         5.8    0.006287   0.0006287
      0.8976      -2.013     0.04343         7.9    0.009708   0.0009708
        1.38      -1.428     0.05529          24     0.03734    0.004754
           2     -0.1673      0.2069         100      0.6803      0.3241
       2.204      0.2763      0.1712         160       1.889      0.7448
       2.398       1.246     0.07177         250       17.63       2.914
       2.544       1.323      0.1134         350       21.05       5.495
