#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
       1.204       -1.56       -1.56          16    0.009913     0.00883
           2     0.08421     0.08421         100      0.4706      0.3717
       2.204      0.4102      0.4102         160   1.745e-05       1.286
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.011      -2.011       2e+05    0.004223    0.002769
