#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.992     0.04343        2.15      0.1019     0.01019
      0.6532      -1.073     0.04343         4.5     0.08455    0.008455
      0.8976     -0.7426     0.04343         7.9      0.1809     0.01809
        1.38     -0.2337     0.04343          24      0.5838     0.05838
           2       1.337     0.04343         100        21.7        2.17
       2.204       1.615     0.04343         160       41.23       4.123
       2.398       1.626      0.0536         250       42.22       5.211
       2.544        1.43      0.1552         350        26.9       9.615
       2.699       1.139      0.1098         500       13.77       3.484
       5.301     -0.8775     0.04343       2e+05      0.1326     0.01326
