#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.452     0.04343        2.15     0.03532    0.003532
      0.5563      -1.257     0.04343         3.6     0.05528    0.005528
      0.6532      -1.408     0.04343         4.5     0.03905    0.003905
      0.7634      -1.381     0.04343         5.8     0.04157    0.004157
      0.8976       -1.41     0.04343         7.9     0.03894    0.003894
       1.204     -0.4391     0.04343          16      0.3638     0.03638
        1.38     -0.3001     0.04343          24      0.5011     0.05011
           2      0.9114     0.04343         100       8.154      0.8154
       2.204        1.15     0.04343         160       14.11       1.411
       2.398        1.24     0.08433         250       17.37       3.373
       5.301      -1.282     0.05241       2e+05      0.0522      0.0063
