#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.976     0.04343        2.15     0.01057    0.001057
      0.5563      -1.673     0.04343         3.6     0.02125    0.002125
      0.6532      -1.811     0.04343         4.5     0.01547    0.001547
      0.7634      -1.871     0.04343         5.8     0.01347    0.001347
      0.8976      -1.958     0.04343         7.9     0.01102    0.001102
       1.204      -1.121     0.04343          16     0.07573    0.007573
        1.38      -1.057     0.04343          24      0.0878     0.00878
           2      0.1807      0.1031         100       1.516      0.3599
       2.204       0.528      0.1166         160       3.373      0.9055
       2.398      0.4312      0.1834         250       2.699        1.14
