#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.642      -2.642         5.8    0.000944    0.000669
      0.8976      -3.125      -3.125         7.9   -0.000614    0.000682
       1.204       7.301       7.301          16         -99       1e+07
           2     0.09198     0.09198         100   1.792e-05      0.6179
       2.204      0.5961      0.5961         160      0.7016       1.622
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.086      -2.086       2e+05    0.002816    0.002692
