#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -3.016      -3.016         5.8    0.000352    0.000306
      0.8976      -4.237      -4.237         7.9    -0.00064    0.000349
       1.204      -1.834      -1.834          16   1.903e-10     0.00733
        1.38      -1.907      -1.907          24    0.005818    0.003288
           2    -0.08471    -0.08471         100   1.792e-05      0.4114
       2.204      0.5866      0.5866         160       1.772       1.044
       2.398      0.7251      0.7251         250       1.233       2.038
       2.544      0.8034      0.8034         350   2.905e-07        3.18
       2.699       0.913       0.913         500   3.106e-07       4.092
       2.929      0.5182      0.5182         850      0.2201       1.539
       3.064      0.1298      0.1298        1160    2.13e-10      0.6742
