#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.896     0.04343        2.15     0.01271    0.001271
      0.5563      -1.743     0.04343         3.6     0.01806    0.001806
      0.6532      -1.854     0.04343         4.5     0.01399    0.001399
      0.7634      -1.874     0.04343         5.8     0.01336    0.001336
      0.8976      -1.765     0.04343         7.9     0.01718    0.001718
       1.204     -0.9237     0.04343          16      0.1192     0.01192
        1.38     -0.8002     0.04343          24      0.1584     0.01584
           2      0.6069     0.04343         100       4.045      0.4045
       5.301      -2.188      0.2037       2e+05     0.00648    0.003039
