#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.96     0.04343        2.15     0.01096    0.001096
      0.5563      -1.819     0.04343         3.6     0.01517    0.001517
      0.6532      -1.818     0.04343         4.5     0.01519    0.001519
      0.7634      -1.875     0.04343         5.8     0.01335    0.001335
      0.8976      -1.908     0.04343         7.9     0.01235    0.001235
       1.204      -1.506      0.1092          16     0.03117    0.007835
        1.38     -0.9805     0.04343          24      0.1046     0.01046
           2    -0.06137      0.1806         100      0.8682      0.3611
       2.204      0.3869      0.1611         160       2.437       0.904
       5.301      -2.066      0.1255       2e+05    0.008587    0.002481
