#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.088     0.04343        2.15     0.08166    0.008166
      0.8976      -1.356     0.04343         7.9     0.04408    0.004408
        1.38     -0.3697     0.04343          24      0.4269     0.04269
           2      0.9482     0.04343         100       8.875      0.8875
       2.204       1.345     0.04343         160       22.14       2.214
       2.398        1.46     0.05802         250       28.82        3.85
       2.544       1.291     0.06886         350       19.55         3.1
       5.301      -1.573     0.05009       2e+05     0.02672    0.003082
