#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.472     0.04343        2.15     0.03373    0.003373
      0.5563      -1.453     0.04343         3.6     0.03525    0.003525
      0.6532      -1.598     0.04343         4.5     0.02526    0.002526
      0.7634      -1.656     0.04343         5.8      0.0221     0.00221
      0.8976      -1.751     0.04343         7.9     0.01775    0.001775
       1.204     -0.8105     0.04343          16      0.1547     0.01547
        1.38     -0.6792     0.04343          24      0.2093     0.02093
           2      0.3825     0.08544         100       2.412      0.4746
       2.204      0.6122     0.07775         160       4.094       0.733
       2.398       0.734      0.1353         250        5.42       1.688
       5.301      -2.136      0.1579       2e+05    0.007317    0.002661
