#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.668     0.04343        2.15    0.002148   0.0002148
      0.5563      -2.327     0.04343         3.6    0.004711   0.0004711
      0.6532       -2.19     0.04343         4.5    0.006457   0.0006457
      0.7634      -2.048     0.04343         5.8    0.008945   0.0008945
      0.8976      -2.003     0.04343         7.9     0.00993    0.000993
        1.38      -1.121     0.04343          24     0.07562    0.007562
           2      0.2101      0.1444         100       1.622      0.5395
       2.398      0.8339      0.1233         250       6.822       1.936
       2.544       0.924      0.1945         350       8.395        3.76
