#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.8976      -2.726      -2.726         7.9    0.000835    0.000523
       1.204      -1.811      -1.811          16    0.002383     0.00653
           2     -0.1838     -0.1838         100   1.792e-05      0.3274
       2.204      0.2519      0.2519         160      0.3813      0.7024
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301       -2.14       -2.14       2e+05     0.00177    0.002738
