#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634          -3          -3         5.8    0.000198    0.000401
      0.8976      -3.101      -3.101         7.9   -0.000169    0.000481
       1.204      -1.851      -1.851          16   1.903e-10    0.007048
        1.38      -1.994      -1.994          24   8.071e-11    0.005066
           2     -0.1636     -0.1636         100   1.792e-05       0.343
       2.204      0.1769      0.1769         160   1.745e-05      0.7513
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
