#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.825      -2.825         5.8    0.000633    0.000431
      0.8976      -3.263      -3.263         7.9   -0.000526    0.000536
       1.204      -1.894      -1.894          16   1.903e-10    0.006382
        1.38      -2.119      -2.119          24   8.071e-11    0.003802
           2   -0.003087   -0.003087         100       0.316      0.3384
       2.204      0.2119      0.2119         160   1.745e-05      0.8144
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301       -1000       -1000       2e+05     0.01216      -1e+10
