#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.072     0.04343        2.15    0.008472   0.0008472
      0.5563      -1.946     0.04343         3.6     0.01133    0.001133
      0.6532      -1.897     0.04343         4.5     0.01268    0.001268
      0.7634      -1.874     0.04343         5.8     0.01336    0.001336
      0.8976      -1.991     0.04343         7.9     0.01021    0.001021
        1.38     -0.8983     0.04343          24      0.1264     0.01264
           2      0.1764      0.1068         100       1.501      0.3691
       2.204      0.3576      0.1452         160       2.278      0.7617
       2.398      0.5173      0.1817         250       3.291       1.376
       5.301      -2.106      0.1477       2e+05    0.007832    0.002664
