#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.168     0.04343        2.15     0.06792    0.006792
      0.5563      -1.356     0.04343         3.6     0.04403    0.004403
      0.6532      -1.467     0.04343         4.5     0.03415    0.003415
      0.7634      -1.556     0.04343         5.8     0.02782    0.002782
      0.8976      -1.521     0.04343         7.9     0.03015    0.003015
       1.204       -1.35      0.1324          16     0.04465     0.01361
        1.38      -1.275     0.04343          24     0.05305    0.005305
           2      0.3761       0.078         100       2.377       0.427
       2.204      0.7902     0.06673         160       6.168      0.9478
       2.398      0.7627      0.1274         250       5.791       1.698
