#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.004     0.04343        2.15    0.009908   0.0009908
      0.5563      -1.809     0.04343         3.6     0.01551    0.001551
      0.6532      -1.916     0.04343         4.5     0.01212    0.001212
      0.7634      -2.079     0.04343         5.8     0.00834    0.000834
      0.8976      -2.124     0.04343         7.9    0.007509   0.0007509
       1.204      -1.291     0.05434          16     0.05121    0.006407
        1.38      -1.327     0.05232          24     0.04715     0.00568
           2      0.2752     0.08411         100       1.885       0.365
       2.204      0.3656      0.1312         160        2.32       0.701
       2.398       0.581      0.2167         250       3.811       1.901
