#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.952     0.04343        2.15     0.01117    0.001117
      0.5563      -1.689     0.04343         3.6     0.02046    0.002046
      0.6532      -1.678     0.04343         4.5     0.02101    0.002101
      0.7634      -1.844     0.04343         5.8     0.01433    0.001433
      0.8976      -1.714     0.04343         7.9     0.01933    0.001933
        1.38     -0.7357     0.04343          24      0.1838     0.01838
           2      0.8536     0.04343         100       7.139      0.7139
       2.204       1.068     0.05845         160        11.7       1.575
       2.398       1.024     0.07114         250       10.58       1.732
       2.544      0.7875      0.1843         350       6.131       2.601
       5.301      -1.557     0.04904       2e+05     0.02771    0.003129
