#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.776     0.04343        2.15     0.01675    0.001675
      0.5563      -1.492     0.04343         3.6     0.03224    0.003224
      0.6532      -1.439     0.04343         4.5     0.03635    0.003635
      0.7634      -1.477     0.04343         5.8     0.03332    0.003332
      0.8976      -1.397     0.04343         7.9     0.04008    0.004008
       1.204     -0.6472     0.04343          16      0.2253     0.02253
        1.38     -0.6347     0.04343          24      0.2319     0.02319
           2      0.6756     0.04343         100       4.738      0.4738
       2.204       1.033     0.04343         160       10.79       1.079
       2.398       1.158     0.04343         250       14.38       1.438
       2.544       1.051     0.07137         350       11.24       1.847
       2.699      0.6904      0.1934         500       4.902       2.183
       5.301       -1.52     0.04458       2e+05      0.0302      0.0031
