#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.248     0.04343        2.15     0.05649    0.005649
      0.5563      -1.343     0.04343         3.6     0.04536    0.004536
      0.6532      -1.464     0.04343         4.5     0.03436    0.003436
      0.7634      -1.442     0.04343         5.8     0.03612    0.003612
      0.8976      -1.334     0.04343         7.9     0.04637    0.004637
       1.204     -0.7265     0.04343          16      0.1877     0.01877
        1.38     -0.7326     0.04343          24      0.1851     0.01851
           2      0.6668     0.05203         100       4.643      0.5562
       2.204       1.005     0.07812         160       10.12        1.82
       2.398       1.289     0.09958         250       19.44       4.457
       5.301      -1.437      0.0795       2e+05      0.0366      0.0067
