#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.796     0.04343        2.15       0.016      0.0016
      0.5563      -1.654     0.04343         3.6      0.0222     0.00222
      0.6532      -1.801     0.04343         4.5     0.01581    0.001581
      0.7634      -1.855     0.04343         5.8     0.01395    0.001395
      0.8976        -1.9     0.04343         7.9     0.01258    0.001258
       1.204      -1.038     0.04343          16     0.09171    0.009171
        1.38     -0.8351     0.04343          24      0.1462     0.01462
           2      0.1185       0.126         100       1.314      0.3811
       2.204      0.7305     0.07224         160       5.376      0.8943
       5.301      -1.907     0.08756       2e+05      0.0124      0.0025
