#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.492     0.04343        2.15     0.03221    0.003221
      0.5563      -1.596     0.04343         3.6     0.02537    0.002537
      0.6532      -1.641     0.04343         4.5     0.02284    0.002284
      0.7634      -1.705     0.04343         5.8     0.01974    0.001974
      0.8976      -1.499     0.04343         7.9     0.03168    0.003168
       1.204      -1.141     0.04873          16     0.07221    0.008102
        1.38        -0.9     0.04578          24      0.1259     0.01327
           2      0.5137     0.04543         100       3.263      0.3414
       2.204      0.4559      0.1155         160       2.857      0.7599
       2.398      0.9282     0.07835         250       8.477       1.529
       2.544      0.6879      0.1637         350       4.875       1.837
       5.301      -1.995      0.1295       2e+05     0.01012    0.003017
