#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.528     0.04343        2.15     0.02965    0.002965
      0.5563      -1.407     0.04343         3.6     0.03916    0.003916
      0.6532      -1.566     0.04343         4.5     0.02716    0.002716
      0.7634      -1.522     0.04343         5.8     0.03009    0.003009
      0.8976      -1.673     0.04343         7.9     0.02125    0.002125
       1.204     -0.7147     0.04343          16      0.1929     0.01929
        1.38     -0.6476     0.04343          24      0.2251     0.02251
           2      0.3978      0.1135         100       2.499      0.6534
       2.204      0.8125     0.07779         160       6.494       1.163
       2.398      0.8406      0.2145         250       6.928       3.423
       5.301      -1.754     0.06662       2e+05      0.0176      0.0027
