#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.816      -2.816         5.8    0.000677    0.000425
       1.204      -1.741      -1.741          16   1.903e-10    0.009083
           2       10.38       10.38         100      -117.8    1.19e+10
       2.204       10.38       10.38         160      -117.8    1.19e+10
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.5011      0.5011         850   2.068e-10       1.585
       3.064      0.4084      0.4084        1160      0.9689      0.7961
       5.301      -2.272      -2.272       2e+05  -0.0002208    0.002783
