#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.416     0.04343        2.15    0.003837   0.0003837
      0.5563      -2.156     0.04343         3.6     0.00699    0.000699
      0.6532      -2.281     0.04343         4.5    0.005231   0.0005231
      0.7634      -2.312     0.04343         5.8    0.004873   0.0004873
      0.8976      -2.445     0.06484         7.9     0.00359    0.000536
       1.204       -1.42     0.09791          16     0.03803    0.008574
        1.38       -1.37     0.04343          24      0.0427     0.00427
           2    -0.04627      0.1699         100      0.8989      0.3516
       2.204       0.405      0.1328         160       2.541      0.7772
       5.301        -2.2      0.1769       2e+05    0.006312    0.002571
